round,match_id,date,home_team_id,away_team_id,home_score,away_score,result
1,1,2025-05-10,12,5,3.0,2.0,0
1,2,2025-05-10,3,11,0.0,2.0,1
1,3,2025-05-10,7,6,2.0,0.0,0
1,4,2025-05-10,10,2,2.0,2.0,2
1,5,2025-05-11,4,9,1.0,1.0,2
1,6,2025-05-11,0,1,1.0,2.0,1
2,7,2025-05-24,11,0,0.0,3.0,1
2,8,2025-05-24,9,7,3.0,0.0,0
2,9,2025-05-24,1,3,2.0,0.0,0
2,10,2025-05-18,8,12,4.0,0.0,0
2,11,2025-05-25,2,4,1.0,1.0,2
3,13,2025-05-31,12,2,0.0,2.0,1
3,14,2025-05-31,3,5,0.0,1.0,1
3,15,2025-05-31,4,11,2.0,1.0,0
3,16,2025-06-01,9,8,1.0,0.0,0
3,17,2025-06-01,7,1,0.0,4.0,1
3,18,2025-06-01,0,6,1.0,0.0,0
4,19,2025-06-14,8,0,1.0,1.0,2
4,20,2025-06-21,2,9,0.0,1.0,1
4,21,2025-06-14,5,7,1.0,1.0,2
4,22,2025-06-15,11,10,1.0,1.0,2
4,23,2025-06-15,4,12,1.0,0.0,0
4,24,2025-06-15,6,3,2.0,0.0,0
5,25,2025-06-28,11,8,2.0,0.0,0
5,26,2025-06-21,3,0,0.0,4.0,1
5,27,2025-06-28,9,12,2.0,0.0,0
5,28,2025-06-29,7,4,1.0,2.0,1
5,29,2025-06-29,10,5,3.0,0.0,0
5,30,2025-06-29,1,2,4.0,0.0,0
6,31,2025-07-05,4,1,1.0,2.0,1
6,32,2025-07-05,5,6,0.0,2.0,1
6,33,2025-07-05,0,10,0.0,0.0,2
6,34,2025-07-06,12,7,0.0,2.0,1
6,35,2025-07-06,8,3,0.0,0.0,2
6,36,2025-07-06,2,11,2.0,2.0,2
7,37,2025-07-19,7,2,1.0,0.0,0
7,38,2025-07-20,10,12,4.0,0.0,0
7,39,2025-07-19,1,9,2.0,1.0,0
7,40,2025-07-20,3,4,0.0,2.0,1
7,41,2025-07-20,5,0,1.0,5.0,1
7,42,2025-07-20,6,8,1.0,2.0,1
8,43,2025-08-02,12,1,0.0,3.0,1
8,44,2025-08-02,8,10,3.0,0.0,0
8,45,2025-08-02,4,5,2.0,1.0,0
8,46,2025-08-03,11,7,2.0,3.0,1
8,47,2025-08-03,9,3,5.0,0.0,0
8,48,2025-08-03,2,6,0.0,1.0,1
9,49,2025-08-16,3,12,1.0,0.0,0
9,50,2025-08-16,10,7,1.0,1.0,2
9,51,2025-08-16,6,4,3.0,3.0,2
9,52,2025-08-17,5,8,1.0,0.0,0
9,53,2025-08-17,0,9,3.0,2.0,0
9,54,2025-08-17,1,11,5.0,0.0,0
